nama_rptra,wilayah,kecamatan,kelurahan,lat,lon,confidence,nominatim_display_name
Bagus,KOTA ADM. JAKARTA SELATAN,Pasar Minggu,Kebagusan,-6.3034516,106.8289638,medium - name matched in result,"RPTRA Bagus, Kebagusan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Baung,KOTA ADM. JAKARTA SELATAN,Pasar Minggu,Kebagusan,-6.3047675,106.8361282,medium - name matched in result,"RPTRA Baung, Kebagusan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Perdamaian,KOTA ADM. JAKARTA SELATAN,Pasar Minggu,Kebagusan,-6.3103102,106.8312171,"LOW - kelurahan centroid only, not the actual park","Kebagusan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12520, Indonesia"
Waru Timbul,KOTA ADM. JAKARTA SELATAN,Pasar Minggu,Kebagusan,-6.3103102,106.8312171,"LOW - kelurahan centroid only, not the actual park","Kebagusan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12520, Indonesia"
Kecapi 137,KOTA ADM. JAKARTA SELATAN,Pasar Minggu,Kebagusan,-6.3103102,106.8312171,"LOW - kelurahan centroid only, not the actual park","Kebagusan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12520, Indonesia"
Dwi Chandra Loka,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,Kebayoran Lama Utara,-6.2448215,106.7782383,"LOW - kelurahan centroid only, not the actual park","Kebayoran Lama Utara, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Delas,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,Kebayoran Lama Utara,-6.2448215,106.7782383,"LOW - kelurahan centroid only, not the actual park","Kebayoran Lama Utara, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Pinang Indah,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,Pondok Pinang,-6.2661929,106.7713220,medium - name matched in result,"RPTRA Pinang Indah, Pondok Pinang, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Mangga Ulir,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,Cipulir,-6.2385664,106.7734378,"LOW - kelurahan centroid only, not the actual park","Cipulir, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12230, Indonesia"
Kemandoran,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,Grogol Utara,-6.2135864,106.7871536,medium - name matched in result,"RPTRA Kemandoran, Grogol Utara, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Kampung Perigi,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,Kebayoran Lama Selatan,-6.2583286,106.7728740,medium - name matched in result,"RPTRA Kampung Perigi, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Intan,KOTA ADM. JAKARTA SELATAN,Cilandak,Cilandak Barat,-6.2949176,106.8042324,medium - name matched in result,"RPTRA Intan, Cilandak Barat, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
