nama_tpu,wilayah,kecamatan,kelurahan,alamat,luas,unit_agama,jumlah_terisi,lat,lon,confidence,nominatim_match_type
TPU PEGADUNGAN,KOTA ADM. JAKARTA BARAT,KALIDERES,KALIDERES,"Jl. Benda Raya No.74, RT.7/RW.7, Prepedan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820, Indonesia",659430,ISLAM,0,,,FAILED,
TPU JERUK PURUT,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,"Jl. Madrasah No.14, RT.7/RW.6, Cilandak Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",91786,ISLAM,21549,,,FAILED,
TPU TANJUNG BARAT,KOTA ADM. JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,"Jalan Swadaya II No.Z No.10, RT.1/RW.5, Tanjung Barat, Jagakarsa, RT.1/RW.5, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530",29515,ISLAM,13009,,,FAILED,
TPU JAGAKARSA,KOTA ADM. JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,"Blok Haji Asmun, Jl. Jagakarsa II Haji Asmun No.36, RT.1/RW.7, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620",7131,ISLAM,3544,,,FAILED,
TPU MENTENG PULO I (TEBET),KOTA ADM. JAKARTA SELATAN,TEBET,MENTENG DALEM,"Jalan Casablanca, RT.6/RW.12, Menteng Dalam, Tebet, RT.6/RW.12, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960",139433,ISLAM/ KRISTEN/ HINDU/ BHUDA,46166,,,FAILED,
TPU MENTENG PULO II (TEBET) dan TPU MENTENG PULO III (SETIABUDI),KOTA ADM. JAKARTA SELATAN,TEBET,MENTENG DALEM,"Jl. Casablanca, RT.10/RW.13, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870",157318,ISLAM/ KRISTEN/ HINDU/ BHUDA,23147,,,FAILED,
TPU CIDODOL (I dan II),KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,"Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220",20646,ISLAM,2300,,,FAILED,
TPU GROGOL SELATAN,KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,"RT.10/RW.10, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220",7532,ISLAM,3754,,,FAILED,
TPU TANAH KUSIR (I dan II),KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,"Jalan Raya Bintaro, RT.2/RW.10, Kby. Lama Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240",519858,ISLAM/ KRISTEN/ HINDU/ BHUDA,68572,,,FAILED,
TPU KAMPUNG KONGSI,KOTA ADM. JAKARTA SELATAN,PESANGGRAHAN,BINTARO,"Jl. Mawar III No.49, RT.1/RW.14, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330",2720,ISLAM,672,,,FAILED,
TPU KAMPUNG KANDANG,KOTA ADM. JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,"Jl. Moh. Kahfi 1 seberang Tpu.Kp.Kandang No.1f, RT.10/RW.6, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12065",229416,ISLAM/ KRISTEN,22135,,,FAILED,
TPU SRENGSENG SAWAH,KOTA ADM. JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,"Jl. Srengseng Sawah, RT.12/RW.7, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12640",131609,ISLAM,17166,,,FAILED,
TPU KEBAGUSAN,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,"Jl. Kong Ali Gg. Ikhtiar, RT.2/RW.3, Kebagusan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",8579,ISLAM,2621,,,FAILED,
TPU PISANGAN,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,"Jl. Harsono RM No.59, RT.10/RW.7, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550",4985,ISLAM,1957,,,FAILED,
TPU PASAR MINGGU,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,"Jl. Raya Ragunan, RT.5/RW.2, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",23272,KRISTEN/ HINDU/ BHUDA,500,,,FAILED,
TPU PEJATEN TIMUR,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,"RT.7/RW.6, Pejaten Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",2384,ISLAM,1458,,,FAILED,
TPU PEJATEN BARAT,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,"No., Jl. Jatipadang Utara No.93, RT.13/RW.2, Jati Padang, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540",3954,ISLAM,2112,,,FAILED,
